,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,12,1,3,3,0,1,0,0,1,0,0,1,3,0
swipe_down,4,12,4,0,1,0,1,0,1,1,1,0,1,4
virtual_slider_right,1,2,13,0,1,0,1,0,1,0,6,0,0,0
pinch_out_vertical,0,0,0,19,0,1,2,6,1,0,3,1,1,1
swipe_up,0,3,1,2,14,0,0,0,0,1,3,0,2,4
palm_release,1,0,0,1,0,13,2,2,0,1,1,2,2,0
virtual_knob_clockwise,0,0,1,1,2,0,18,2,1,0,3,4,1,2
pinch_out_horizontal,1,1,0,5,0,3,1,13,5,0,1,3,2,0
swipe_right,0,3,4,1,2,1,1,5,11,0,0,0,1,1
palm_grab,0,0,0,0,2,0,0,0,1,20,0,0,1,1
virtual_slider_left,1,0,2,1,3,1,2,1,0,0,15,1,0,3
virtual_knob_anticlockwise,0,0,2,5,1,2,3,0,1,0,0,20,0,1
virtual_tap,3,0,1,2,4,1,2,0,2,3,0,0,12,0
swipe_left,0,1,0,0,3,0,1,0,0,1,4,0,0,15
