,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,51,1,0,0,0,0,0,0,0,0,0,2,0,0
swipe_down,0,16,0,0,0,0,0,0,2,0,0,0,0,0
virtual_slider_right,0,0,12,0,0,0,0,0,0,0,4,0,0,2
pinch_out_vertical,0,0,0,16,0,0,1,0,0,0,0,1,0,0
swipe_up,0,0,0,0,18,0,0,0,0,0,0,0,0,0
palm_release,0,0,0,0,0,20,1,0,0,0,0,0,0,0
virtual_knob_clockwise,1,0,0,0,0,0,16,0,0,0,0,1,0,0
pinch_out_horizontal,1,0,0,0,0,0,1,16,0,0,0,0,0,0
swipe_right,1,0,0,0,0,0,0,0,16,0,0,0,0,1
palm_grab,0,0,0,0,0,0,0,0,0,18,0,0,0,0
virtual_slider_left,0,0,3,0,0,0,0,0,0,0,15,0,0,0
virtual_knob_anticlockwise,1,0,0,1,0,0,1,0,0,0,0,15,0,0
virtual_tap,0,0,1,0,0,0,0,0,0,0,0,0,14,3
swipe_left,0,0,2,0,0,0,0,0,0,0,0,0,1,15
