,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,46,0,0,0,0,0,0,0,0,0,0,0,0,0
swipe_down,15,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual_slider_right,16,0,0,0,0,0,0,0,0,0,0,0,0,0
pinch_out_vertical,11,0,0,0,0,5,0,0,0,0,0,0,0,0
swipe_up,15,0,0,0,0,0,0,0,0,0,0,0,0,0
palm_release,0,0,0,0,0,17,0,0,0,0,0,0,0,0
virtual_knob_clockwise,16,0,0,0,0,0,0,0,0,0,0,0,0,0
pinch_out_horizontal,16,0,0,0,0,0,0,0,0,0,0,0,0,0
swipe_right,16,0,0,0,0,0,0,0,0,0,0,0,0,0
palm_grab,3,0,0,0,0,12,0,0,0,0,0,0,0,0
virtual_slider_left,16,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual_knob_anticlockwise,16,0,0,0,0,0,0,0,0,0,0,0,0,0
virtual_tap,15,0,0,0,0,0,0,0,0,0,0,0,0,0
swipe_left,15,0,0,0,0,0,0,0,0,0,0,0,0,0
