,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,432,2,0,4,0,0,8,4,0,1,0,14,0,0
swipe_down,0,147,0,0,1,0,2,1,2,1,0,0,0,1
virtual_slider_right,0,0,117,0,0,0,0,0,0,0,35,0,0,8
pinch_out_vertical,4,0,0,144,0,3,1,4,0,0,0,4,0,0
swipe_up,0,1,0,0,141,0,0,0,3,0,1,0,5,4
palm_release,1,0,0,2,0,170,1,0,0,0,0,1,0,0
virtual_knob_clockwise,4,0,0,0,0,0,147,0,0,0,0,9,0,0
pinch_out_horizontal,5,2,0,5,0,0,2,145,0,0,0,1,0,0
swipe_right,2,3,0,0,2,0,0,0,147,0,0,0,2,4
palm_grab,0,3,0,2,0,1,0,0,0,149,0,0,0,0
virtual_slider_left,0,0,47,0,0,0,0,0,0,0,113,0,0,0
virtual_knob_anticlockwise,7,0,0,4,0,1,18,0,0,0,0,130,0,0
virtual_tap,0,0,2,0,3,0,0,0,3,0,0,0,134,13
swipe_left,0,1,9,0,0,0,0,0,3,0,1,0,12,129
