,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,435,1,0,2,0,0,3,2,1,0,1,18,0,2
swipe_down,0,146,0,0,6,0,1,0,1,1,0,0,0,0
virtual_slider_right,0,0,123,0,0,0,0,0,0,0,26,0,0,11
pinch_out_vertical,4,0,0,151,0,0,1,1,0,0,0,3,0,0
swipe_up,0,5,0,0,148,0,0,0,0,0,0,0,1,1
palm_release,0,0,0,1,0,171,0,1,0,1,0,1,0,0
virtual_knob_clockwise,0,0,0,2,0,0,144,0,0,0,0,14,0,0
pinch_out_horizontal,1,0,0,2,0,0,0,157,0,0,0,0,0,0
swipe_right,1,0,0,0,0,0,1,0,156,0,0,0,0,2
palm_grab,0,0,0,1,0,0,1,0,0,153,0,0,0,0
virtual_slider_left,1,0,23,0,0,0,0,0,0,0,134,0,0,2
virtual_knob_anticlockwise,3,0,0,0,0,0,6,1,0,0,0,150,0,0
virtual_tap,0,0,2,0,0,0,0,0,2,0,0,0,144,7
swipe_left,0,0,11,0,0,0,0,0,1,0,1,0,3,139
