,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,26,1,0,2,0,0,1,0,0,0,0,0,0,0
swipe_down,0,31,0,0,0,0,0,0,0,0,0,0,0,0
virtual_slider_right,0,0,20,0,1,0,0,0,0,0,10,0,1,0
pinch_out_vertical,1,0,0,28,0,0,0,0,0,0,0,3,0,0
swipe_up,0,1,0,0,29,0,0,0,0,0,0,0,1,0
palm_release,0,0,0,2,0,32,0,0,0,0,0,1,0,0
virtual_knob_clockwise,0,1,0,0,0,1,24,0,0,0,0,6,0,0
pinch_out_horizontal,2,1,0,3,0,0,1,24,0,1,0,0,0,0
swipe_right,0,0,0,0,3,0,0,4,25,0,0,0,0,0
palm_grab,0,0,0,0,0,0,1,0,0,30,0,0,0,0
virtual_slider_left,0,0,4,0,0,0,0,0,0,0,28,0,0,0
virtual_knob_anticlockwise,0,1,0,7,0,0,3,0,0,2,0,19,0,0
virtual_tap,0,0,2,0,1,0,0,0,1,0,0,0,27,0
swipe_left,0,0,1,0,1,0,0,0,0,0,1,0,1,27
