,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,432,3,0,16,0,2,1,3,0,0,0,8,0,0
swipe_down,1,132,0,0,2,0,1,0,10,0,0,1,3,5
virtual_slider_right,0,2,128,0,0,0,0,0,0,0,12,0,2,16
pinch_out_vertical,1,0,0,141,0,1,2,11,0,0,0,4,0,0
swipe_up,0,4,1,0,137,0,0,0,5,0,2,0,2,4
palm_release,0,0,0,3,0,168,1,1,0,0,0,2,0,0
virtual_knob_clockwise,3,1,0,3,0,1,141,0,1,0,0,10,0,0
pinch_out_horizontal,4,1,0,16,0,0,0,134,1,1,0,3,0,0
swipe_right,0,12,1,0,2,1,0,1,137,1,0,0,0,5
palm_grab,0,0,0,5,0,0,0,0,0,150,0,0,0,0
virtual_slider_left,0,0,11,0,3,0,0,0,0,0,134,0,4,8
virtual_knob_anticlockwise,8,1,0,3,0,1,12,1,1,0,0,133,0,0
virtual_tap,0,1,2,0,4,0,0,0,0,0,2,0,142,4
swipe_left,1,0,15,0,1,0,0,0,4,0,4,0,4,126
