,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,422,12,1,15,0,0,3,5,0,0,0,7,0,0
swipe_down,13,110,3,0,7,0,6,1,8,0,0,1,1,5
virtual_slider_right,3,3,101,0,3,0,0,0,0,0,19,0,18,13
pinch_out_vertical,16,0,0,122,0,1,1,12,0,0,0,8,0,0
swipe_up,0,2,3,0,129,0,0,0,5,0,2,0,9,5
palm_release,0,0,0,2,0,170,0,1,0,1,0,1,0,0
virtual_knob_clockwise,4,5,0,2,0,1,123,3,7,0,0,15,0,0
pinch_out_horizontal,5,2,0,17,0,1,4,128,0,0,0,3,0,0
swipe_right,3,12,0,0,4,0,9,2,122,0,0,1,2,5
palm_grab,0,1,0,0,0,0,0,0,1,150,0,2,1,0
virtual_slider_left,0,0,19,0,2,0,0,0,0,0,125,0,7,7
virtual_knob_anticlockwise,15,1,0,8,1,0,16,3,0,0,0,116,0,0
virtual_tap,2,2,17,0,13,0,0,0,1,0,9,0,97,14
swipe_left,0,3,23,0,6,0,0,0,5,0,3,0,9,106
