,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,139,5,1,1,0,0,0,3,0,0,1,0,0,0
swipe_down,2,141,0,0,4,0,4,0,1,2,0,0,1,0
virtual_slider_right,0,0,103,0,0,0,0,0,0,0,49,0,4,4
pinch_out_vertical,2,0,0,139,0,0,1,3,0,4,0,11,0,0
swipe_up,0,5,2,0,130,0,0,0,7,0,0,0,8,3
palm_release,1,0,0,3,0,156,1,0,1,0,0,13,0,0
virtual_knob_clockwise,1,3,0,3,0,0,132,1,0,1,0,19,0,0
pinch_out_horizontal,2,6,0,5,0,2,1,142,1,1,0,0,0,0
swipe_right,0,5,0,0,8,0,1,4,134,0,0,0,6,2
palm_grab,1,0,0,2,0,0,3,2,0,146,0,1,0,0
virtual_slider_left,0,0,32,0,1,0,0,0,0,0,125,0,0,2
virtual_knob_anticlockwise,0,0,0,11,0,1,24,0,0,2,0,122,0,0
virtual_tap,0,0,5,0,5,0,0,0,4,0,1,0,139,1
swipe_left,0,0,8,0,1,0,0,0,1,0,2,0,6,137
