,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,140,1,0,5,0,0,0,2,0,0,1,1,0,0
swipe_down,3,135,0,0,5,0,0,5,5,0,0,1,1,0
virtual_slider_right,0,0,102,0,0,0,0,0,0,0,54,0,1,3
pinch_out_vertical,2,0,0,141,0,1,3,5,0,2,0,6,0,0
swipe_up,1,5,3,0,126,0,0,0,4,0,0,0,9,7
palm_release,0,0,0,1,0,159,3,2,0,1,0,9,0,0
virtual_knob_clockwise,0,1,0,1,0,0,135,2,1,4,0,16,0,0
pinch_out_horizontal,2,3,0,4,0,3,0,146,1,1,0,0,0,0
swipe_right,0,2,0,0,5,0,0,1,144,0,0,0,5,3
palm_grab,1,1,0,1,0,0,4,0,0,145,0,3,0,0
virtual_slider_left,0,0,40,0,0,0,0,0,0,0,119,0,0,1
virtual_knob_anticlockwise,0,1,0,5,0,4,22,1,0,5,0,122,0,0
virtual_tap,0,0,9,0,2,0,0,0,3,0,1,0,136,4
swipe_left,0,0,12,0,3,0,0,0,1,0,2,0,2,135
