,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,145,2,0,0,0,0,0,3,0,0,0,0,0,0
swipe_down,1,140,0,0,3,0,1,0,6,1,0,0,3,0
virtual_slider_right,0,0,107,0,10,0,0,0,0,0,29,0,6,8
pinch_out_vertical,2,0,0,132,0,3,5,7,0,1,0,10,0,0
swipe_up,0,8,11,0,113,0,0,0,6,0,1,0,16,0
palm_release,1,0,0,1,0,157,3,1,0,0,0,12,0,0
virtual_knob_clockwise,3,0,0,4,0,0,137,1,0,0,0,15,0,0
pinch_out_horizontal,7,1,0,7,0,0,1,143,1,0,0,0,0,0
swipe_right,0,5,0,0,5,0,0,2,143,0,0,0,4,1
palm_grab,0,1,0,1,0,1,4,1,0,144,0,3,0,0
virtual_slider_left,0,0,17,0,0,0,0,0,0,0,142,0,0,1
virtual_knob_anticlockwise,0,0,0,11,0,4,10,0,0,3,0,132,0,0
virtual_tap,0,3,7,0,5,0,0,0,2,0,1,0,133,4
swipe_left,0,0,5,0,2,0,0,0,3,0,0,0,7,138
