,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,135,3,0,2,1,0,2,4,0,0,2,1,0,0
swipe_down,4,137,0,0,6,0,1,1,4,0,0,1,0,1
virtual_slider_right,0,0,105,0,0,0,0,0,0,0,47,0,7,1
pinch_out_vertical,2,0,0,139,0,1,0,3,0,1,0,14,0,0
swipe_up,0,5,2,0,129,0,0,0,5,0,1,0,8,5
palm_release,0,0,0,1,0,163,1,1,0,0,0,9,0,0
virtual_knob_clockwise,2,3,0,3,0,1,132,5,0,0,0,14,0,0
pinch_out_horizontal,6,7,0,4,0,1,2,137,1,1,0,1,0,0
swipe_right,0,1,0,0,6,0,1,3,144,0,0,0,3,2
palm_grab,0,0,0,1,0,0,3,0,0,149,0,2,0,0
virtual_slider_left,0,0,43,0,0,0,0,0,0,0,117,0,0,0
virtual_knob_anticlockwise,0,0,0,6,0,2,16,0,0,0,0,136,0,0
virtual_tap,0,0,7,0,4,0,0,0,1,0,0,0,142,1
swipe_left,0,0,8,0,4,0,0,0,2,0,1,0,3,137
