,non_gesture,swipe_down,virtual_slider_right,pinch_out_vertical,swipe_up,palm_release,virtual_knob_clockwise,pinch_out_horizontal,swipe_right,palm_grab,virtual_slider_left,virtual_knob_anticlockwise,virtual_tap,swipe_left
non_gesture,55,35,12,5,1,0,5,20,0,3,2,3,7,2
swipe_down,28,71,10,1,1,1,13,6,4,5,0,14,1,0
virtual_slider_right,12,8,48,12,6,2,2,11,10,1,10,25,13,0
pinch_out_vertical,4,5,17,62,18,3,0,15,10,0,3,9,7,7
swipe_up,1,1,10,26,65,4,1,6,19,7,2,6,6,1
palm_release,0,0,1,6,3,136,5,0,7,1,6,3,3,4
virtual_knob_clockwise,2,14,4,0,0,3,111,0,3,0,4,19,0,0
pinch_out_horizontal,17,4,11,23,8,0,1,59,7,1,7,3,18,1
swipe_right,2,9,8,10,15,4,2,3,69,0,16,10,8,4
palm_grab,4,8,1,0,6,0,5,4,0,125,0,2,0,0
virtual_slider_left,1,2,8,4,3,3,5,4,21,0,92,15,2,0
virtual_knob_anticlockwise,3,17,19,4,4,0,19,4,9,4,12,60,5,0
virtual_tap,15,0,12,7,10,2,0,14,12,1,0,8,70,4
swipe_left,5,1,1,1,3,5,0,3,7,0,2,0,1,126
